Tag Code,Site First Name,First Antenna Group Name,First Date MMDDYYYY,Site Last Name,Last Antenna Group Name,Last Date MMDDYYYY,Release Date MMDDYYYY,Release Site Name,Mark Conditional Comments Value,Mark Conditional Comments Code,Mark Data Project Code Code,Mark Date MMDDYYYY,Mark Length mm,Mark Organization Name,Mark Organization Code,Mark Temperature C,Run Code,Run Name,Species Code,Species Name,ObsMain Count
3DD.003D53F049,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 52,9/16/2020,GRA - Lower Granite Dam Adult,Ladder Exit,9/28/2020,9/16/2020,BONAFF - BON - Adult Fish Facility,"Descaled Less than 10 Percent, Adipose Fin Clip, Mature, Returning Fish",1&lt; AD MT RF,JKF,9/16/2020,855,Columbia River Inter-Tribal Fish Commission,CRITFC,19.5,5,Unknown,3,Steelhead,1
3DD.003D63166C,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 52,10/2/2020,GRA - Lower Granite Dam Adult,Ladder Exit,10/17/2020,10/2/2020,BONAFF - BON - Adult Fish Facility,"Descaled Between 11 and 20%, Adipose Fin Clip, Returning Fish, Mature",&lt;2 AD MT RF,JKF,10/2/2020,895,Columbia River Inter-Tribal Fish Commission,CRITFC,18.1,5,Unknown,3,Steelhead,1
3DD.003D63166F,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 52,10/2/2020,BO4 - Bonneville WA Ladder Slots,VERTICAL SLOT DETECTORS,10/2/2020,10/2/2020,BONAFF - BON - Adult Fish Facility,"Returning Fish, Mature, Adipose Fin Clip, Descaled Greater than 20%",&gt;2 AD MT RF,JKF,10/2/2020,640,Columbia River Inter-Tribal Fish Commission,CRITFC,18.1,5,Unknown,3,Steelhead,1
3DD.003D631670,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 52,10/2/2020,GRA - Lower Granite Dam Adult,Ladder Exit,10/19/2020,10/2/2020,BONAFF - BON - Adult Fish Facility,"Returning Fish, Mature, Adipose Fin Clip",AD MT RF,JKF,10/2/2020,770,Columbia River Inter-Tribal Fish Commission,CRITFC,18.1,5,Unknown,3,Steelhead,1
3DD.003D631671,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 52,10/1/2020,GRA - Lower Granite Dam Adult,Ladder Exit,10/13/2020,10/1/2020,BONAFF - BON - Adult Fish Facility,"Returning Fish, Mature, Adipose Fin Clip",AD MT RF,JKF,10/1/2020,865,Columbia River Inter-Tribal Fish Commission,CRITFC,17.8,5,Unknown,3,Steelhead,1
3DD.003D631672,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 52,10/1/2020,GRA - Lower Granite Dam Adult,Ladder Exit,10/15/2020,10/1/2020,BONAFF - BON - Adult Fish Facility,"Adipose Fin Clip, Mature, Parasite, Returning Fish",AD MT PA RF,JKF,10/1/2020,840,Columbia River Inter-Tribal Fish Commission,CRITFC,17.8,5,Unknown,3,Steelhead,1
3DD.003D631676,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 52,10/1/2020,MC1 - McNary Oregon Shore Ladder,COUNTING WINDOW,10/21/2020,10/1/2020,BONAFF - BON - Adult Fish Facility,"Returning Fish, Mature, Adipose Fin Clip",AD MT RF,JKF,10/1/2020,815,Columbia River Inter-Tribal Fish Commission,CRITFC,17.8,5,Unknown,3,Steelhead,1
3DD.003D631677,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 52,10/2/2020,TD2 - The Dalles North Fish Ladder,Counting Window,10/4/2020,10/2/2020,BONAFF - BON - Adult Fish Facility,"Descaled Between 11 and 20%, Adipose Fin Clip, Returning Fish, Mature",&lt;2 AD MT RF,JKF,10/2/2020,830,Columbia River Inter-Tribal Fish Commission,CRITFC,18.1,5,Unknown,3,Steelhead,1
3DD.003D631678,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 52,10/2/2020,GRA - Lower Granite Dam Adult,ISO EAST,10/21/2020,10/2/2020,BONAFF - BON - Adult Fish Facility,"Descaled Less than 10 Percent, Adipose Fin Clip, Mature, Returning Fish",1&lt; AD MT RF,JKF,10/2/2020,920,Columbia River Inter-Tribal Fish Commission,CRITFC,18.1,5,Unknown,3,Steelhead,1
3DD.003D631679,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 52,10/2/2020,GRA - Lower Granite Dam Adult,Ladder Exit,10/20/2020,10/2/2020,BONAFF - BON - Adult Fish Facility,"Descaled Between 11 and 20%, Adipose Fin Clip, Returning Fish, Mature",&lt;2 AD MT RF,JKF,10/2/2020,805,Columbia River Inter-Tribal Fish Commission,CRITFC,18.1,5,Unknown,3,Steelhead,1
3DD.003D631682,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 52,10/2/2020,GRA - Lower Granite Dam Adult,Ladder Exit,10/18/2020,10/2/2020,BONAFF - BON - Adult Fish Facility,"Returning Fish, Mature",MT RF,JKF,10/2/2020,810,Columbia River Inter-Tribal Fish Commission,CRITFC,18.1,5,Unknown,3,Steelhead,1
3DD.003D631691,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 52,10/2/2020,GRA - Lower Granite Dam Adult,Ladder Exit,10/15/2020,10/2/2020,BONAFF - BON - Adult Fish Facility,"Descaled Between 11 and 20%, Adipose Fin Clip, Returning Fish, Mature",&lt;2 AD MT RF,JKF,10/2/2020,710,Columbia River Inter-Tribal Fish Commission,CRITFC,18.1,5,Unknown,3,Steelhead,1
3DD.003D631696,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 52,10/2/2020,GRA - Lower Granite Dam Adult,Ladder Exit,10/16/2020,10/2/2020,BONAFF - BON - Adult Fish Facility,"Returning Fish, Mature, Adipose Fin Clip",AD MT RF,JKF,10/2/2020,805,Columbia River Inter-Tribal Fish Commission,CRITFC,18.1,5,Unknown,3,Steelhead,1
3DD.003D631699,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 52,10/2/2020,MC1 - McNary Oregon Shore Ladder,COUNTING WINDOW,10/10/2020,10/2/2020,BONAFF - BON - Adult Fish Facility,"Descaled Greater than 20%, Mature, Returning Fish",&gt;2 MT RF,JKF,10/2/2020,775,Columbia River Inter-Tribal Fish Commission,CRITFC,18.1,5,Unknown,3,Steelhead,1
3DD.003D6316A0,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 52,10/2/2020,BO4 - Bonneville WA Ladder Slots,VERTICAL SLOT DETECTORS,10/2/2020,10/2/2020,BONAFF - BON - Adult Fish Facility,"Descaled Between 11 and 20%, Returning Fish, Mature",&lt;2 MT RF,JKF,10/2/2020,755,Columbia River Inter-Tribal Fish Commission,CRITFC,18.1,5,Unknown,3,Steelhead,1
3DD.003D6316A6,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 52,10/2/2020,GRA - Lower Granite Dam Adult,Ladder Exit,10/17/2020,10/2/2020,BONAFF - BON - Adult Fish Facility,"Descaled Less than 10 Percent, Mature, Returning Fish",1&lt; MT RF,JKF,10/2/2020,780,Columbia River Inter-Tribal Fish Commission,CRITFC,18.1,5,Unknown,3,Steelhead,1
3DD.003D6316AE,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 52,10/2/2020,ICH - Ice Harbor Dam (Combined),LEFT LADDER WEIR 438 [O/S],10/20/2020,10/2/2020,BONAFF - BON - Adult Fish Facility,"Returning Fish, Mature, Adipose Fin Clip, Descaled Greater than 20%",&gt;2 AD MT RF,JKF,10/2/2020,905,Columbia River Inter-Tribal Fish Commission,CRITFC,18.1,5,Unknown,3,Steelhead,1
3DD.003D6316B0,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 52,10/1/2020,GRA - Lower Granite Dam Adult,Ladder Exit,10/16/2020,10/1/2020,BONAFF - BON - Adult Fish Facility,"Descaled Less than 10 Percent, Adipose Fin Clip, Mature, Returning Fish",1&lt; AD MT RF,JKF,10/1/2020,840,Columbia River Inter-Tribal Fish Commission,CRITFC,17.8,5,Unknown,3,Steelhead,1
